resort_name,source,location,last_24hr_snow,prev_1_5_days,prev_6_10_days,prev_11_15_days,next_1_5_days,next_6_10_days,next_11_15_days,latitude,longitude,forecast_updated_at
Palisades Tahoe,Ikon,"California, United States",0.0,0,0,0,0,14,1,39.1855,-120.2574,2026-03-24 12:42:55+00:00
Panorama Mountain Resort,Ikon,"British Columbia, Canada",0.0,4,6,13,4,2,2,50.4404,-116.2241,2026-03-24 13:14:59+00:00
Passo Rolle,Ikon,"Trento, Italy",2.0,9,14,0,10,2,8,46.29,11.7855,2026-03-24 13:02:59+00:00
Pico,Ikon,"Vermont, United States",0.0,3,5,3,1,0,10,43.648,-72.8393,2026-03-24 12:25:35+00:00
Red Mountain Resort,Ikon,"British Columbia, Canada",0.0,0,5,7,3,6,4,49.1028,-117.8407,2026-03-24 13:19:42+00:00
Revelstoke,Ikon,"British Columbia, Canada",1.0,9,14,20,8,7,3,50.9638,-118.1175,2026-03-24 13:15:13+00:00
Schweitzer,Ikon,"Idaho, United States",0.0,0,5,22,3,6,6,48.3767,-116.6225,2026-03-24 13:07:28+00:00
Shiga Kogen Bunadaira,Ikon,"Nagano, Japan",0.0,1,0,4,0,0,4,36.7203,138.5058,2026-03-24 12:31:31+00:00
Shiga Kogen Giant,Ikon,"Nagano, Japan",0.0,1,0,4,0,0,3,36.7163,138.4974,2026-03-24 13:42:43+00:00
Shiga Kogen Hasuike,Ikon,"Nagano, Japan",0.0,1,0,4,0,0,4,36.7143,138.4919,2026-03-24 13:48:51+00:00
Shiga Kogen Higashitateyama,Ikon,"Nagano, Japan",0.0,2,0,5,3,0,5,36.7262,138.516,2026-03-24 13:43:42+00:00
Shiga Kogen Ichinose Diamond,Ikon,"Nagano, Japan",0.0,3,0,5,1,0,5,36.7396,138.5096,2026-03-24 13:43:09+00:00
Shiga Kogen Ichinose Family,Ikon,"Nagano, Japan",0.0,2,0,5,3,0,7,36.7349,138.5194,2026-03-24 12:24:05+00:00
Shiga Kogen Ichinose Yamanokami,Ikon,"Nagano, Japan",0.0,3,0,5,1,0,5,36.7437,138.5066,2026-03-24 13:43:41+00:00
Shiga Kogen Kidoike,Ikon,"Nagano, Japan",0.0,1,0,5,4,0,5,36.6925,138.4968,2026-03-24 13:43:35+00:00
Shiga Kogen Kumanoyu,Ikon,"Nagano, Japan",0.0,1,0,5,5,0,7,36.6772,138.4962,2026-03-24 12:31:16+00:00
Shiga Kogen Maruike,Ikon,"Nagano, Japan",0.0,1,0,4,0,0,4,36.715,138.4894,2026-03-24 13:43:48+00:00
Shiga Kogen Nishitateyama,Ikon,"Nagano, Japan",0.0,1,0,4,0,0,4,36.7274,138.5001,2026-03-24 13:42:54+00:00
Shiga Kogen Okushiga Kogen,Ikon,"Nagano, Japan",0.0,3,0,8,1,0,5,36.7719,138.5157,2026-03-24 12:43:42+00:00
Shiga Kogen Shibutoge,Ikon,"Gunma, Japan",0.0,2,1,6,13,3,8,36.6684,138.5316,2026-03-24 12:43:42+00:00
Shiga Kogen Sun Valley,Ikon,"Nagano, Japan",0.0,1,0,4,0,0,3,36.715,138.4851,2026-03-24 13:43:28+00:00
Shiga Kogen Takamagahara Mammoth,Ikon,"Nagano, Japan",0.0,2,0,5,3,0,5,36.7298,138.5137,2026-03-24 13:43:36+00:00
Shiga Kogen Tannenomori Okojo,Ikon,"Nagano, Japan",0.0,2,0,5,2,0,5,36.7332,138.5152,2026-03-24 12:43:01+00:00
Shiga Kogen Terakoya,Ikon,"Nagano, Japan",0.0,3,0,6,5,1,6,36.7282,138.529,2026-03-24 13:43:49+00:00
Shiga Kogen Yakebitaiyama,Ikon,"Nagano, Japan",0.0,3,0,7,3,0,5,36.7566,138.5185,2026-03-24 13:43:15+00:00
Shiga Kogen Yokoteyama,Ikon,"Nagano, Japan",0.0,1,0,5,4,0,7,36.6817,138.503,2026-03-24 12:31:55+00:00
Sierra-at-Tahoe,Ikon,"California, United States",,0,0,0,0,13,1,38.7935,-120.0807,2026-03-24 12:48:02+00:00
Snowbasin,Ikon,"Utah, United States",0.0,0,0,0,0,2,3,41.1994,-111.8593,2026-03-24 13:12:46+00:00
